"","hpl4_a","hpl4_b","hpl4_c","hpl7_a","hpl7_b","hpl7_c","hpl8_a","hpl8_b","hpl8_c","lpl2_a","lpl2_b","lpl2_c","lpl6_a","lpl6_b","lpl6_c","lpl7_a","lpl7_b","lpl7_c","mpl4_a","mpl4_b","mpl4_c","mpl5_a","mpl5_b","mpl5_c","mpl9_a","mpl9_b","mpl9_c"
"lpl2_a_DN3793_c0_g1_i1",0,0,0,0,0,0,0,0,0,55.6278076575287,0,0,0.38742184368186,0.656579642454086,0.890502102447324,1.94473427953864,4.61095213887204,0,0,0,0,0,0,0,0.17739725821458,0,0
"lpl2_a_DN3799_c0_g1_i2",0,0,0,0,0,0,0.584971094763277,0,0,50.567270979771,0,2.46466440809954,0.780291090241631,0,0,0,0,0,0,0,2.78830256019982,0,0,0,0.350062279782755,0.273434668397906,0
"lpl2_a_DN3798_c0_g2_i2",0,0,2.21922385028555,0.622770636650856,0,0,1.16080316454726,0,0,161.195362482715,0,4.90615704755799,0,1.29192044399067,2.66416180886578,0.638179796051708,4.56894893074086,1.47569935959646,0,0,2.7872034535038,0,0,0,1.2520895180611,0.56335765040787,1.6641952712727
"lpl2_a_DN3780_c0_g1_i1",0,0,0,0,0,0,0,0,0,12.275363031154,1.95800765592285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lpl2_a_DN3780_c0_g2_i1",0,3.36652490648974,0,0,0,5.67925589454356,0,0,0,36.2719466140716,3.9034516107502,1.23221029410211,0,0,1.78697246202291,0,0,0,0,0,0,0,0,0,0,0,0
"lpl2_a_DN3796_c0_g1_i1",0,0,0,0,0,0,0,0,0,25.9373859085388,0,1.22984401623371,1.16435718643292,0,0.891481091949695,0,0,0,1.03398085509328,0,0,0,0,0,0,0,0
"lpl2_a_DN3736_c0_g1_i1",0,0,0,0,0,0,0,0,0,22.533127871147,0,0,0,0,0.89359653590481,0,2.37308214787163,0,0,0,0,0,0,0,0,0,0
"lpl2_a_DN3772_c0_g1_i1",0,0,0,0,0,0,0,0,0,47.6126743242841,5.76276385206842,1.22858714212125,0.387186801882802,0.65512283358316,0.890174722788631,0,0,0,0,0,2.78767392025827,0,1.0079276318773,1.00926333113398,0.355192641828232,0.557838440916332,0
"lpl2_a_DN3781_c0_g1_i1",0,0,0,0,0,0,0,0,0,55.4472292996525,5.75149467845118,3.68455432740604,0,0,2.66926917177464,0.645125262766501,0,1.48280296787505,0,5.1591117410294,2.78759076845064,0,0,0,2.13417869268789,0.558926935641227,0
"lpl2_a_DN3797_c1_g1_i1",1.08948465167557,0,0,0.307556888781089,0,0,0,0,0,33.9077857168339,0,0,0,1.32111125824915,0,1.30400469573694,0,1.48979174723066,0,0,0,0,0,0,0.17685451061017,0.554644066125248,0.829672656309255
"lpl2_a_DN3779_c0_g1_i1",0,0,0,0,0.695508158447776,0,0,1.6321964051999,0,32.7180279092993,0,3.70383261645845,0.390712964389169,0,0.893706756568166,2.00472578133543,4.74158169900446,1.51107788181949,0,0,0,0,0,0,0,0,0
"lpl2_a_DN3747_c1_g1_i1",0,0,0,0,0,0,0,0.811868771671551,0,38.2087891754176,0,3.69519537637923,1.16803856855034,0,0,0,0,0,0,0,0,0,0,0,0,0.549867986121247,0
"lpl2_a_DN3741_c1_g1_i1",0,0,0,0.613121391547515,0,0,0,0.811098509454613,0,38.0489579446038,0,1.23046910978868,0.777407119281628,0,0.892365648841174,0,0,0,1.03259870172239,0,0,0,0,0,1.05789973821922,0.552377926628735,0
"lpl2_a_DN3782_c0_g1_i1",0,0,0,0,0,0,0,0,0,65.5863697416425,1.92469466902702,0,0,0,0.890589531454436,0,0,0,0,0,0,0,0,0,1.41875664699836,1.11351017550313,0
"lpl2_a_DN3776_c0_g1_i1",0,0,0,0,0,0,0,0,0,65.6643397427814,0,0,0.387678181756294,0.658176780950466,0.890860973541309,0,2.30860405626186,0,0,0,2.78780345975028,0,0,0,0.708722428538396,1.11209710359991,0.830069269703523
"lpl2_a_DN3771_c0_g2_i1",0,0,0,0,0,0,0,0,0.729788230290854,71.7968616602409,0,0,0.388049472305699,0,0,0,2.31314074364611,0,0,0,0,0,0,0,0.707474398950046,0.277352634165394,0
"lpl2_a_DN3742_c0_g1_i3",0,0,4.45161300298587,0.311991653774914,0,0,0,0,0,186.327272232432,1.89746383854942,2.45204411680127,1.54123891572254,1.9311469711791,4.43760759697818,1.90815160259021,2.27998723772722,0,1.03947587888316,5.18370435463012,8.36119958304073,0,0,0,3.5837673471614,1.12948759826942,0
"lpl2_a_DN3791_c0_g1_i1",0,0,0,0,0,0,0,0,0,28.4366347324452,0,0,0,0,0,0.666131646941176,2.35609312823082,0,0,0,0,0,1.00537224967276,0,0.523764642008906,0.544907983633691,0
"lpl2_a_DN3762_c0_g1_i1",1.08821478992458,3.38780047583822,0,0.6172459562347,0.71048476058472,0,0,0,0,71.5113891982115,0,3.68661337248823,1.54959540122586,0,0,0,2.30519547393588,1.48581999470207,0,0,0,0,0,0,2.48384232084726,0,0
"lpl2_a_DN3762_c0_g2_i1",1.0958376744561,0,0,0,0,0,0,0,0,42.7956256771409,0,0,0.390362303791018,0,0.893939372428969,0,2.36322642213494,0,3.08115897856679,0,0,0,0,0,0,0,0
"lpl2_a_DN5_c0_g1_i2",86.6527346025893,17.0687697418046,156.490795004054,72.2775531857621,553.372503389842,230.074163560965,224.886108360962,84.7982223117797,118.611754603216,20427.5149600827,790.291784149282,844.197303990691,263.173492120267,104.389513294311,418.538351492695,75.9516570534813,2323.39286334067,198.484924773302,52.0275510758552,85.6726747976754,342.78201835131,3.17281026077042,160.502416511015,913.925309237735,493.167252669202,147.935022855612,10.8292664238848
"lpl2_a_DN89_c0_g1_i3",0,0,2.21045534279378,0.310575249937007,0.715084233696912,0,0,3.23558437300548,0,879.419321890426,17.1750981647834,18.4084114517347,3.08948746418808,5.84090328790566,8.88764312765791,5.76946958325324,4.58100803513974,8.87190283708154,2.07553868356062,0,8.36212353700946,0,2.01713998002653,7.06989622550751,9.45754602549095,14.3184696861851,0.831594447881809
"lpl2_a_DN89_c0_g2_i1",0,0,0,0,0,0,0,0,0,254.477359225616,1.92536107432404,11.0615068144888,22.864664772453,1.31458815046599,5.34397798307308,0.64892136095072,9.22750546234932,0,2.07022830638425,0,2.78776833009718,0,0,0,0.354600432619459,0.556563864174143,0
"lpl2_a_DN37_c0_g1_i1",4.33410240163198,3.41190591220581,22.3224537922509,12.5033304833079,33.8313972593572,17.2470242535963,22.6109087761514,10.5010744790112,4.41795762514681,4442.42417267251,94.6482677838308,132.355696368045,32.7202938503735,14.7555131327417,54.9940915437764,12.0458071591209,307.210077654825,29.4272098927805,11.4420096316059,20.7574812977435,47.3777363109477,0,22.2054112974672,139.497382567456,62.8246236985707,24.6252654929193,3.3313285571923
"lpl2_a_DN75_c0_g1_i3",0,0,0,0.620858566856878,0,0,0,0,0.733529654656549,244.636792373625,15.2757956198732,8.59145758553783,7.33925154305245,1.29907755983016,5.33335319220892,2.56629260963103,29.7907312973527,1.47918370836523,1.03759232284159,0,11.1496155199183,0.787934187141143,1.00851281567824,6.05952490605459,3.92408577518738,2.80587892499106,0
"lpl2_a_DN75_c0_g2_i1",0,0,0,0,0,0,0,0,0,166.188123891656,0,0,0,0.652356693651823,0.889543254790851,0,20.6745518097634,0,1.03668698092965,0,2.78754655900455,0,2.01643690699886,5.04794906444062,1.42381147964454,0,0
"lpl2_a_DN96_c0_g1_i10",2.16715894471041,0,15.622251105911,0.62507562563656,4.31825892485468,8.62287905227999,2.31916402891384,1.61560095776731,0,890.592627936999,11.3598599402669,31.8644213140704,7.314480592946,3.85026143135161,27.4982848575105,3.17073786450007,79.6587465320181,10.3006719187322,4.16051407331203,0,8.36081021927708,0.792450396185317,0,3.0324942542617,11.6658796719386,0.848990934692009,0
"lpl2_a_DN96_c0_g1_i3",0,0,0,3.12542346912267,7.19720509442964,0,2.89894300773769,0,0,935.595790645461,53.0117168459329,22.059914035871,10.3941863928777,4.49185558127737,0,1.90239550166035,34.1389629380525,0,4.16053569555761,2.59448947633465,52.9517771000092,0,8.07457291006045,2.02166666476125,26.2037079228406,10.7540824840942,0
"lpl2_a_DN96_c0_g2_i1",1.08364021362966,0,0,1.56243283109616,0.719589013218826,0,0,0.807829245121329,0.736201352272771,992.564169586035,3.78739754914584,12.2559858239872,5.00505552373169,3.85138652272491,8.8708651222166,4.44027871264152,0,2.94341920866014,1.04006740766207,0,8.36084752923882,0,4.0372031225665,5.05404884402743,9.86964964123079,8.48814884045862,0
"lpl2_a_DN96_c0_g3_i1",0,0,0,0.30731346916825,0,0,0,0,0,53.90540686869,7.73647728869371,1.22999316211581,0,0,0,0,11.5764355876231,0,0,0,0,0,0,0,0,0,0
"lpl2_a_DN8_c0_g1_i1",2.17284273490357,0,2.20573114510634,5.5824781359618,0,0,1.74318135242484,0,0.733148791490453,823.595752614335,19.1173741673823,29.4623470764881,5.79685825671325,2.60256018797129,11.5589185073556,5.14093669056174,22.9377757680803,0,1.03723802990281,0,19.5122284768177,0,3.02519402756351,0,28.8707037531625,10.9299680263803,0.831320441421768
"lpl2_a_DN85_c0_g2_i1",0,3.40509329801078,2.21999441936676,1.86873825449043,0,5.73851236658588,0,0,0,290.860465241732,24.7202448061928,13.4912661696826,5.39896714579835,1.93708854108755,14.207865152764,1.27585870525631,27.4073694863685,13.2789703877196,0,0,0,0.790135809879875,0,0,1.07344354165986,1.97232000058907,0
"lpl2_a_DN93_c0_g1_i2",2.16872926484805,0,4.44908221615406,1.87125129720387,2.15444378754558,11.4848420461566,1.74042679559532,1.61634354085422,1.47082041297789,1306.82100881799,36.0686953427476,41.6881316135916,5.39534305453437,3.22072600181892,16.8648523424168,0.636458063214231,130.008292160088,2.94784269345152,0,0,13.9354670439602,0,0,4.04219863365694,10.5685064579907,10.7250718783683,0
"lpl2_a_DN93_c0_g2_i1",0,0,0,0,0,0,0,0,0,30.1128325540727,1.94500281493596,8.61835501207672,0.77834532692265,1.33454815223028,0,0.658205811711096,0,0,0,0,0,0,0,0,0.8796073808761,1.37687727702247,0
"lpl2_a_DN10_c0_g1_i6",23.8775632566751,0,70.8983374661448,58.4770945891619,7.87819094704694,28.6734809491269,44.7046399593632,32.3453246101426,8.81203740111529,9152.52593645233,399.985401137748,691.929805443125,254.68932951129,106.143406631531,277.165058096658,118.922945576597,457.395519577378,220.061851134794,24.9201992291688,38.8097948460084,426.453268082204,0.789261632065816,24.210095358478,20.2038484446179,363.640072422763,92.5457519464295,10.8145567168747
"lpl2_a_DN52_c0_g1_i1",0,0,0,0.305333959045228,0,0,0.583818795650291,0,0,160.958208606132,0,0,0.389384999199244,1.33761093123358,1.78709482043135,1.32008876589317,0,0,0,0,2.78775681095703,0,0,0,4.56672034618635,1.923559497855,0
"lpl2_a_DN52_c0_g2_i1",0,0,2.1355151621483,0,0,0,1.75649798347812,3.25409869892664,0,297.811272209306,7.82899207248185,18.4842733941017,6.63548490924814,1.34778941392304,8.04787295316564,1.9947971479857,14.0996044644574,1.50399599271783,0,0,0,0,0,0,0.174862005387745,0.272997201257457,0.82750115334326
"lpl2_a_DN22_c0_g1_i32",1.09260403004502,16.8204220097933,2.14688691149029,0.60958106838947,2.80609140818337,2.8389227602626,1.16861732225035,1.62467599964295,1.452361505666,728.219372722822,552.509385139508,29.5747073156901,3.5071202625889,24.1426783851138,33.0631941284032,22.5043688679969,516.71053182871,879.389995470994,4.12013670839933,5.11581057949844,0,0.775942874948272,0,2.01580873256573,0,1.37075231399183,3.3126667864538
"lpl2_a_DN86_c0_g1_i1",11.9143742043143,3.41392911312944,24.5949103385408,5.94546009921901,16.5739374398494,8.62818563301028,11.0121716217323,13.7289583792751,7.36756774831848,3596.41672126507,56.7128920541961,79.6396446956044,20.7758815589312,17.9289730111494,59.4094360041658,17.0864029881481,118.204599651773,39.6941441859539,6.24351193225471,7.78884432321956,86.3920012387124,0.793264834595382,19.1797413937195,34.3737121523373,98.2824662710575,41.3813316898685,0.833037936869089
"lpl2_a_DN47_c0_g1_i3",0,0,2.18103427113609,0.307839719659742,0,0,0,0,0,414.416695834833,0,13.5247906816406,1.93943898132133,1.97846701326519,4.45576950722617,0.650999629084708,2.31116786593803,2.97744907199876,0,0,0,0,0,5.04372643750955,11.1512194694506,2.77643041493538,0
"lpl2_a_DN55_c0_g1_i1",0,0,0,0.309680091060101,0,0,0,0,0,516.380874351967,1.915302003373,4.91193621903845,0.773482404314376,0,6.22683607457027,0.644263670335175,0,1.48192771334395,0,0,0,0,1.00821628285759,1.00958737411812,0.355947150108295,0.839203739258071,0
"lpl2_a_DN55_c0_g2_i2",0,0,0,0.622773561774352,0,0,0,0.808444567062995,0,721.443579769562,9.51045571931043,12.2653801648369,0.771367097103791,1.2919095691894,7.99247387465674,1.27634927754218,18.2757089199524,0,2.07749916293153,0,0,0,0,0,0,0.563360991768231,0
"lpl2_a_DN38_c0_g1_i2",1.08510788332283,0,0,2.178733463864,0.716668780732611,0,0,2.4255664150389,0,226.183472430439,5.70947886460128,18.3998467972523,6.9438531146054,0,7.10539799717398,0,0,2.95239992002249,0,0,13.9361674430577,0,1.00883084991196,2.02055817623433,0,0,0.832012484622535
"lpl2_a_DN38_c0_g1_i4",0,0,6.65498528225529,0,0,0,1.74133581057088,0,0.734667209094248,300.860161245867,0,7.35965746991267,0,3.87760487195487,4.44063209107581,1.91541365210761,31.9912241934993,2.95199926266846,0,0,0,0,1.008852037832,2.02060596248349,23.426276875803,13.2344707163677,0
"lpl2_a_DN51_c0_g1_i9",4.33831961395264,0,6.6677020462316,2.18185438626123,0,0,1.16047700098805,0.80827336017409,0,225.805775136123,7.59896521739982,13.4890428267114,6.93889081698421,3.22408516554405,3.55113365158171,0.637095415531203,2.28219110740836,1.47458032969333,3.11735493978749,0,36.2327525001701,0,0,0,66.5998268695908,1.41015479981394,1.66457535239264
"lpl2_a_DN68_c0_g1_i1",0,0,0,0.309047962420831,0,0,0,0.809739874328323,0,168.573811318359,1.920253860021,1.228515882239,1.54853603634807,0.654796322654575,3.56040230125496,0,2.30198079082108,0,0,0,0,0,0,0,11.3690236694065,5.58031368239428,0
"lpl2_a_DN68_c0_g2_i1",0,0,0,0,0,0,0,0,0,114.236603947619,3.91856003156869,18.501775761685,6.63939754331899,0,0,0,4.733359474588,1.50928644621618,2.05352829094392,0,0,0,0,0,0.34852697538538,0.814860155251242,0
"lpl2_a_DN44_c0_g1_i7",1453.37879941092,224.820459388188,7991.32580334514,4209.06543022003,4970.49662893475,5645.76291772434,2417.91183097155,2653.60966334986,3183.89336267314,547090.922255562,67791.8466953947,75914.0424620736,13637.4227301778,6571.67744531344,21726.4006424487,4903.15976147204,165313.195722427,13583.2380888624,1124.29185428208,2750.8935776142,15106.3028147054,105.93869840056,1148.23237181471,3048.55894371258,3439.83057634223,1975.69836000702,1043.66845125163
"lpl2_a_DN18_c0_g1_i8",109.449582823626,27.2898077408277,131.630006926994,81.2423344110957,66.9182596777011,80.4714528757149,63.2011113391913,43.6232656261986,56.6859072029074,246.687507942766,166.656210542031,131.140519679766,27.3360061300978,57.1341291260465,115.32308122123,93.2540493341394,225.369434336954,153.06382699906,73.8434267300909,38.9121877057246,139.347653015141,48.3306946241555,67.622750351455,67.7237999175522,27.8131615113393,14.4289158029306,47.4675193669382
"lpl2_a_DN46_c0_g1_i1",0,0,0,0,0,0,0,0,0,249.57667770617,0,6.15002936367672,3.49413425091638,0.661537878714671,9.80812780996877,0.652927133325095,6.94621226430615,2.98157719538876,0,0,0,0,0,0,0.176718361565785,0.277028138500826,0
"lpl2_a_DN46_c0_g4_i1",0,0,0,0.933660592771265,0,0,0,1.61707485706765,0,489.786832956742,3.80674102390954,7.36007879116627,1.92893297149303,0.646574820913957,1.77639764871401,0,0,5.9051991146831,0,0,13.9361971388488,0,0,0,6.43619472677949,2.25192194115439,1.66399099130098
"lpl2_a_DN2_c0_g1_i2",2.16965833098059,0,6.6608502430582,8.410041533471,11.4755765354563,2.86938063980515,2.90174946448572,0.80839087771207,0.734901427760699,2151.75946758202,24.7175891390725,39.2465934008543,15.8105854511317,7.74716691168354,31.9668546802559,5.10268406287661,38.8237487455459,7.37672181859876,3.11659615845915,0,8.36154570619048,0,2.01784239514429,15.1557148934348,25.7646603253836,12.1169889646106,0
"lpl2_a_DN94_c0_g2_i1",2.16944750399392,0,0,1.55786015141069,0,0,0,0,3.67508491066667,314.307487465621,11.4040257560203,3.67914056271652,4.24125904791382,3.87160193222016,3.55156019697331,1.91256673459266,25.1139937132557,7.37510560425576,1.0389724098406,0,11.1486483844708,0.790383516588344,1.00895523207159,1.01041939589139,5.72697615295502,3.94649008624337,0
"lpl2_a_DN94_c0_g3_i1",0,0,0,0,0,0,0,0,0,48.0747891024435,0,2.46105737653206,0.38874790150841,0.664786461546451,1.78485847461386,0,0,0,0,0,5.57581914313809,0,0,0,0.352562056007156,1.38056267208985,0
"lpl2_a_DN36_c0_g1_i1",0,3.40174084646156,2.21401105689239,0,1.43171820699425,0,0.580655991040736,1.61742680590926,0,718.813899089435,17.1522391633622,33.1276090585664,13.8953612797448,3.23877755449878,23.1003783550232,1.27976476765101,13.7283103894262,10.3421562778154,0,0,2.78730672328168,0,0,1.0101294304151,0.893085410335714,0.843388162079659,2.49539800866171
"lpl2_a_DN36_c0_g2_i1",0,0,4.44749631372039,1.24720888954772,0,0,0.580180924126385,2.42463776184073,0,665.365317660245,11.3934596714754,20.8451251963213,3.08341393400424,3.22207419113276,7.10150336139577,0.636713869607987,15.9697073766743,2.94837189487905,1.03924881624518,0,5.57422023691818,0.790876414579409,2.01808583468029,1.01051837386397,12.7153117267619,5.36095013539549,0
"lpl2_a_DN26_c0_g1_i1",0,0,0,0.311505042677291,0,2.86948349700658,1.74101471915927,1.61675717484425,0,862.597660267365,5.70355260197321,23.302308302799,4.24171460419913,0.645515492688686,15.9830793777963,3.18878982562821,25.1194535558821,2.95052874338344,0,0,5.57435403382631,0,1.00892962503851,0,0.178932820034453,0.845446811117361,0
"lpl2_a_DN26_c0_g2_i1",1.084749978434,6.81132003246473,2.22100881706743,0.623099770991973,0.717381128780088,0,0,0.808353557206391,0,974.434054286606,19.0084058821767,7.35839437999819,0.771165388689924,0.645349113159086,5.32745693908551,2.55040058205136,6.84976317314332,7.37550762179847,0,0,2.7871670388827,0.790336090504194,0,0,3.75808384552389,2.53680159058537,0
"lpl2_a_DN14_c0_g1_i28",3.25927143249893,10.1911846272289,6.61712658387283,2.17094925814663,12.1388210065934,40.0828934471531,12.7833538780552,5.66397854507016,13.9297757353135,4655.22862549782,4435.26805694769,10363.3953263972,0,25.3752667479415,498.8128056598,27.6328533734671,193967.728727684,96076.139642835,5.1861775841093,23.2462397299186,25.0871544968023,1.57460815996276,10.0839719305375,7.0685351446999,3.92068895710942,30.8278560669024,0.8313191440915
"lpl2_a_DN14_c2_g1_i1",7.60732166853459,0,11.0132099802073,5.57732002275468,5.70702383463114,2.86172406700421,2.32484583605312,0.809297145380695,0.732773995321718,90.9507602345755,21.0536456838118,14.7340777870665,5.41289038626667,6.51726735382473,8.89398392192638,5.14917635257891,20.6633494362246,14.8130027899471,5.18444513438542,0,5.57503160919845,2.36008023921945,1.00828442868645,5.04831975998621,3.73933404865505,2.51936321530894,0.831140159112245
"lpl2_a_DN7_c0_g1_i3",4.35285915969832,33.8780047583822,4.37888828728508,5.24659062799495,13.4992104511097,19.9914355585481,4.07300095816801,4.04984608025655,8.04278003746561,1769.90688265574,1704.31962149217,124.115983540437,5.81098275459698,41.3554988554112,84.5946439029554,60.2741541298476,1240.1951649775,910.807656752371,5.17693473675362,7.72673249586552,2.78773301851235,3.92027185684172,16.1245446481699,12.109295968912,1.59675577768752,1.67119750302011,4.15178743232118
"lpl2_a_DN87_c0_g1_i2",0,0,0,0,0,0,0,2.42642402436583,0,147.796098981697,22.8854152171869,19.6334869378879,8.10784086553005,0,8.8862529698996,0.640487208966244,20.6038819344205,0,0,0,0,0,0,0,0,1.1237408501244,0
"lpl2_a_DN87_c0_g1_i3",1.08462166400039,0,4.44436919147256,0.934974678186506,0,0,2.90128582834435,1.61658611427232,0,402.576478935192,7.6000442529884,18.3946003992834,2.69861007300005,3.22473787316954,4.43907185821063,1.91165775116565,9.12980824309729,2.94941651703014,0,0,39.0199986508715,0,3.02696436604925,3.0313695456335,24.3458055074268,10.9976357255402,0.832265971814483
"lpl2_a_DN87_c0_g2_i1",0,0,0,0,0,0,0,0.813463660016747,0,50.6377532837163,1.9572245597909,2.46462821066321,1.56112299298069,0.673764620010018,0,0,2.34948004613925,0,0,0,0,0,0,0,0.174875644505825,0,0
"lpl2_a_DN87_c1_g1_i1",0,0,0,0,0,0,0.5817869507607,0,0,59.5625899111573,0,0,0,0,0.890354814305083,0,11.5209277785655,0,0,0,8.36312352373921,0,1.00784350910655,0,0.709950655383225,0,0
"lpl2_a_DN87_c1_g2_i1",0,0,0,0,0,0,0,0,0,42.6604162646803,1.95973298739117,1.23221969281676,0,0,0,0.666178104484776,0,0,1.02795048081853,0,0,0,0,2.01607132808307,0.174582259414928,0,0
"lpl2_a_DN97_c0_g1_i4",1.08325479375571,0,6.70408478056276,2.18966006177026,1.44068980361881,0,1.15929265938898,1.61529537159434,1.47322685466709,1474.35476245127,28.3689889956399,42.8861724367519,10.0049787163456,6.4072256181309,24.8305621761478,5.06569494563769,27.2876854641534,4.41165743883472,3.12136570023761,0,25.0817843225074,0.79302873842495,1.00941865908802,16.1751232520503,18.6802367111254,9.63244966900398,1.6659435414353
"lpl2_a_DN97_c0_g1_i5",2.16868604995677,0,8.89895714497842,0,0.718190920947171,2.87129551533857,0.58013260406563,1.61632313710652,1.47086768833625,523.869985136277,17.083918167162,28.2004366755854,9.24888911470767,0.644077867441911,10.6512934306161,5.09115346191915,22.807124627288,7.36927623261519,1.03935821840106,0,8.36126764903167,0,0,3.03167240429421,0.358273611376908,1.12903836524307,0
"lpl2_a_DN84_c0_g1_i1",0,0,0,0.915963592041937,1.40554737636744,0,0,0,0,313.886248342801,21.4396436253489,6.15902819668953,1.55757866975164,0,0,0.660098237846208,0,0,0,0,0,0,0,0,1.58072698280317,2.74779584247239,0
"lpl2_a_DN12_c0_g1_i2",29.5723754353535,6.70407561023499,106.267167689539,12.7253879840605,24.4026296092886,136.079338699547,89.814189509403,92.0567269254371,28.2483157774737,19024.1281826009,778.242406371966,1268.59239697206,466.366964604049,52.7155272774079,298.659959503739,141.367956174307,1260.27313696187,402.38500962417,32.8732055188636,74.0630952235437,359.066308882408,5.40517819755329,11.0598579419115,41.32643401702,9.59589957235184,55.7696738690825,6.62218902130977
"lpl2_a_DN28_c0_g1_i4",6.50324698607589,3.41012979768178,11.1451973305208,11.2423998178531,81.9800235016732,34.4776353617653,24.9366907373329,12.9270421155576,11.7751326292739,2593.93306684475,98.5504202385625,122.576787173876,43.9043908964078,14.1376918539865,64.7700027958366,6.98514472342122,371.280684519109,41.227869853091,8.31865142788172,5.1865528692083,39.0179530943803,0,21.1937612308954,136.448014540499,42.1459369212175,24.5959428062917,0.832652703460368
"lpl2_a_DN28_c1_g1_i1",15.1648967262109,0,33.527093414693,12.5139711365008,54.7535287765929,8.62721742860915,31.8793648836327,12.1143729902332,18.416657336372,3634.49621769859,122.912236781669,164.188135267043,41.1716394635167,17.2955039938584,58.5268024942607,17.7259851369899,393.345881469571,32.3489172107688,6.24301929506432,5.19189374340023,78.0319484523662,1.58623159950464,5.047169713314,66.7235117893104,54.6102459490314,24.9351485550313,6.66396943770305
"lpl2_a_DN57_c0_g1_i1",1.09562542700347,0,0,0,0.697038632230407,0,0.58722316304967,0.814763768555272,0,352.279929256747,11.7601258317769,18.4953913848776,5.46535300407841,2.0283692294031,7.1523674272794,0.667181034260999,23.6178882089546,4.5231893299334,0,0,0,0,0,20.1579535606281,3.66314231092194,4.89467476191035,0
"lpl2_a_DN34_c0_g1_i1",1.08504645536483,0,4.43658744002151,0.311299519000438,0.716791053218498,0,0,2.42547966688847,0,420.816000482603,5.70828314825214,23.3056337695613,7.714750444982,0.646279397589097,0.888129227960001,2.55393008709132,6.85533364343287,1.47601127511763,0,0,5.57444443349915,0,0,2.02060318609583,0,0,0
"lpl2_a_DN34_c0_g2_i1",0,0,0,0.308203356682762,0,0,0.582078085736172,1.62039874170381,1.46121243192462,366.089987427285,7.70776916646371,9.83378462433732,0.387661044073946,1.97420920516005,4.45418502421839,0.649655866667525,6.92518401153191,0,0,0,0,0,0,0,2.12634110784699,4.44888752005683,0
"lpl2_a_DN66_c0_g1_i1",0,0,0,0,0,0,0,0,0,134.668708526532,0,1.22820315457769,0.386902774576961,0.653370138958713,1.77955096152544,0,2.29917217747054,1.48288323376397,0,0,0,0,3.0243363447538,0,2.66755104760272,0,0
